Easting,Northing,surf,bed,hice,dist
-1463613,-384956,880.900146484375,-894.3289,1783.1378,15.2
-1463706,-384994,880.900146484375,-894.3289,1783.1378,15.3
-1463797,-385035,881.6893920898438,-890.0476,1780.4597,15.4
-1463886,-385081,882.9630737304688,-890.0476,1780.4597,15.5
-1463974,-385128,882.9630737304688,-890.0476,1780.4597,15.6
-1464063,-385173,884.885009765625,-902.05054,1793.9398,15.7
-1464152,-385219,884.693359375,-902.05054,1793.9398,15.8
-1464243,-385261,886.31884765625,-902.05054,1793.9398,15.9
-1464335,-385301,886.31884765625,-902.05054,1793.9398,16.0
-1464427,-385340,888.0345458984375,-902.05054,1793.9398,16.1
-1464519,-385378,888.0345458984375,-912.0113,1807.275,16.2
-1464609,-385423,888.1508178710938,-912.0113,1807.275,16.3
-1464696,-385471,888.1508178710938,-912.0113,1807.275,16.4
-1464784,-385519,888.1508178710938,-911.6335,1803.3164,16.5
-1464871,-385569,889.7202758789062,-911.6335,1803.3164,16.6
-1464961,-385613,887.7855224609375,-911.6335,1803.3164,16.7
-1465055,-385647,889.1093139648438,-920.6645,1814.7932,16.8
-1465147,-385685,889.1093139648438,-920.6645,1814.7932,16.9
-1465234,-385735,890.093505859375,-920.6645,1814.7932,17.0
-1465318,-385788,890.093505859375,-920.6645,1814.7932,17.1
-1465409,-385831,889.2568359375,-920.6645,1814.7932,17.2
-1465500,-385871,889.2568359375,-920.6645,1814.7932,17.3
-1465591,-385912,889.2568359375,-928.29974,1825.0754,17.4
-1465683,-385953,890.4694213867188,-928.29974,1825.0754,17.5
-1465774,-385995,890.4694213867188,-928.29974,1825.0754,17.6
-1465864,-386038,889.7138061523438,-926.552,1819.5853,17.7
-1465953,-386084,889.7138061523438,-926.552,1819.5853,17.8
-1466041,-386130,890.786865234375,-932.3574,1828.4552,17.9
-1466131,-386174,890.786865234375,-932.3574,1828.4552,18.0
-1466222,-386215,890.9696044921875,-932.3574,1828.4552,18.1
-1466316,-386250,890.9696044921875,-932.3574,1828.4552,18.2
-1466405,-386296,892.3363647460938,-932.3574,1828.4552,18.3
-1466496,-386338,892.3363647460938,-932.3574,1828.4552,18.4
-1466589,-386375,892.3363647460938,-935.2015,1834.964,18.5
-1466678,-386419,893.308349609375,-935.2015,1834.964,18.6
-1466768,-386465,893.308349609375,-935.2015,1834.964,18.7
-1466856,-386510,895.3904418945312,-928.2619,1827.054,18.8
-1466946,-386555,895.3904418945312,-928.2619,1827.054,18.9
-1467036,-386599,897.3795166015625,-923.83765,1828.614,19.0
-1467125,-386644,897.3851928710938,-923.83765,1828.614,19.1
-1467216,-386686,900.0745849609375,-923.83765,1828.614,19.2
-1467306,-386728,900.0745849609375,-923.83765,1828.614,19.3
-1467393,-386777,900.0745849609375,-923.83765,1828.614,19.4
-1467478,-386831,903.7149047851562,-923.83765,1828.614,19.5
-1467564,-386882,903.7149047851562,-910.4446,1822.9183,19.6
-1467653,-386928,907.0426635742188,-910.4446,1822.9183,19.7
-1467742,-386972,907.0426635742188,-910.4446,1822.9183,19.8
-1467833,-387014,911.5419311523438,-899.70166,1813.8335,19.9
-1467923,-387058,911.5419311523438,-899.70166,1813.8335,20.0
-1468012,-387104,914.9488525390625,-881.4458,1804.2626,20.1
-1468100,-387151,914.9488525390625,-881.4458,1804.2626,20.2
-1468188,-387199,914.9488525390625,-881.4458,1804.2626,20.3
-1468274,-387250,918.587890625,-881.4458,1804.2626,20.4
-1468361,-387299,918.587890625,-881.4458,1804.2626,20.5
-1468448,-387347,920.255615234375,-881.4458,1804.2626,20.6
-1468541,-387384,920.255615234375,-867.36584,1795.6876,20.7
-1468635,-387418,919.5390625,-867.36584,1795.6876,20.8
-1468728,-387456,919.5390625,-867.36584,1795.6876,20.9
-1468821,-387492,917.6890258789062,-867.36584,1795.6876,21.0
-1468914,-387530,917.6890258789062,-869.79706,1794.84,21.1
-1469007,-387566,914.4089965820312,-876.9979,1795.82,21.2
-1469101,-387601,912.2553100585938,-876.9979,1795.82,21.3
-1469194,-387636,912.2553100585938,-876.9979,1795.82,21.4
-1469288,-387671,907.7034912109375,-876.9979,1795.82,21.5
-1469383,-387705,907.7034912109375,-876.9979,1795.82,21.6
-1469476,-387739,902.7797241210938,-876.9979,1795.82,21.7
-1469571,-387772,902.7797241210938,-896.8205,1804.5789,21.8
-1469665,-387805,895.119384765625,-896.8205,1804.5789,21.9
-1469759,-387839,895.119384765625,-896.8205,1804.5789,22.0
-1469853,-387874,889.3922119140625,-896.8205,1804.5789,22.1
-1469947,-387910,889.3922119140625,-896.8205,1804.5789,22.2
-1470041,-387944,882.8073120117188,-924.7985,1818.4374,22.3
-1470135,-387978,882.8073120117188,-924.7985,1818.4374,22.4
-1470228,-388012,874.2673950195312,-934.52594,1825.3303,22.5
