Easting,Northing,surf,bed,hice,dist
-1484828,-390369,860.9733276367188,-1100.7046,1966.0917,30.5
-1484916,-390416,862.4027709960938,-1100.7046,1966.0917,30.6
-1485004,-390463,865.4397583007812,-1076.6345,1948.5453,30.7
-1485089,-390517,865.4397583007812,-1100.9984,1975.248,30.8
-1485176,-390566,865.4397583007812,-1100.9984,1975.248,30.9
-1485261,-390618,868.5501708984375,-1100.9984,1975.248,31.0
-1485349,-390667,868.5501708984375,-1100.9984,1975.248,31.1
-1485436,-390715,870.8904418945312,-1100.9984,1975.248,31.2
-1485522,-390766,870.8904418945312,-1074.3502,1953.8643,31.3
-1485602,-390826,872.4537963867188,-1074.3502,1953.8643,31.4
-1485684,-390884,872.4537963867188,-1074.3502,1953.8643,31.5
-1485768,-390938,872.4537963867188,-1074.3502,1953.8643,31.6
-1485853,-390990,873.3894653320312,-1074.3502,1953.8643,31.7
-1485939,-391041,873.827392578125,-1091.1677,1971.9854,31.8
-1486022,-391098,873.999755859375,-1059.4833,1942.5804,31.9
-1486107,-391150,873.999755859375,-1059.4833,1942.5804,32.0
-1486193,-391201,874.5926513671875,-1059.4833,1942.5804,32.1
-1486284,-391241,874.3326416015625,-1059.4833,1942.5804,32.2
-1486374,-391286,874.3326416015625,-1059.4833,1942.5804,32.3
-1486463,-391331,873.2875366210938,-1059.4833,1942.5804,32.4
-1486554,-391373,873.2875366210938,-1029.9308,1912.4889,32.5
-1486645,-391415,873.4613037109375,-1029.9308,1912.4889,32.6
-1486735,-391457,873.4613037109375,-1029.9308,1912.4889,32.7
-1486826,-391498,871.8726196289062,-1029.9308,1912.4889,32.8
-1486919,-391536,871.8726196289062,-1029.9551,1915.161,32.9
-1487013,-391571,869.2921142578125,-1000.40564,1882.3011,33.0
-1487107,-391605,870.8406982421875,-1000.40564,1882.3011,33.1
-1487200,-391640,870.8406982421875,-1000.40564,1882.3011,33.2
-1487294,-391676,867.4881591796875,-1000.40564,1882.3011,33.3
-1487386,-391713,867.4881591796875,-1000.40564,1882.3011,33.4
-1487478,-391753,863.393798828125,-1000.40564,1882.3011,33.5
-1487571,-391791,863.393798828125,-978.9242,1852.6746,33.6
-1487663,-391829,859.919677734375,-978.9242,1852.6746,33.7
-1487756,-391866,859.919677734375,-978.9242,1852.6746,33.8
-1487849,-391902,854.3763427734375,-978.9242,1852.6746,33.9
-1487942,-391939,854.3763427734375,-978.9242,1852.6746,34.0
-1488036,-391973,847.937744140625,-964.8631,1824.1528,34.1
-1488131,-392005,848.771728515625,-949.66595,1808.4666,34.2
-1488227,-392034,842.1687622070312,-949.66595,1808.4666,34.3
-1488322,-392065,842.1687622070312,-949.66595,1808.4666,34.4
-1488417,-392095,835.3785400390625,-949.66595,1808.4666,34.5
-1488511,-392128,835.3785400390625,-939.479,1781.4713,34.6
-1488605,-392163,830.0740966796875,-939.479,1781.4713,34.7
-1488699,-392197,830.0740966796875,-939.479,1781.4713,34.8
-1488793,-392231,829.211669921875,-939.479,1781.4713,34.9
-1488888,-392263,824.4834594726562,-939.479,1781.4713,35.0
-1488983,-392295,824.4834594726562,-939.479,1781.4713,35.1
-1489077,-392328,820.5353393554688,-934.2486,1763.3198,35.2
-1489171,-392363,820.5353393554688,-934.2486,1763.3198,35.3
-1489265,-392396,817.8488159179688,-934.2486,1763.3198,35.4
-1489359,-392430,816.626953125,-934.2486,1763.3198,35.5
-1489452,-392466,814.8428344726562,-934.2486,1763.3198,35.6
-1489546,-392502,814.8428344726562,-920.2687,1739.3091,35.7
-1489639,-392539,814.124267578125,-920.2687,1739.3091,35.8
-1489732,-392575,814.124267578125,-920.2687,1739.3091,35.9
-1489824,-392613,812.6624145507812,-920.2687,1739.3091,36.0
-1489914,-392657,812.6624145507812,-920.2687,1739.3091,36.1
-1490005,-392698,813.3848266601562,-925.9329,1744.4528,36.2
-1490097,-392739,813.3848266601562,-925.9329,1744.4528,36.3
-1490190,-392774,813.3848266601562,-925.9329,1744.4528,36.4
-1490285,-392806,812.6181030273438,-925.9329,1744.4528,36.5
-1490379,-392841,812.6181030273438,-925.9329,1744.4528,36.6
-1490471,-392879,813.7047119140625,-925.9329,1744.4528,36.7
-1490564,-392917,813.7047119140625,-933.7923,1754.3551,36.8
-1490656,-392955,815.0743408203125,-933.7923,1754.3551,36.9
-1490749,-392992,815.0743408203125,-933.7923,1754.3551,37.0
-1490842,-393030,815.02978515625,-927.51166,1744.7476,37.1
-1490934,-393069,815.02978515625,-927.51166,1744.7476,37.2
-1491026,-393108,816.3984375,-936.6116,1757.2949,37.3
-1491118,-393147,816.3984375,-936.6116,1757.2949,37.4
-1491211,-393184,817.8547973632812,-936.6116,1757.2949,37.5
-1491304,-393221,816.7913818359375,-936.6116,1757.2949,37.6
-1491396,-393259,816.7913818359375,-936.6116,1757.2949,37.7
-1491489,-393297,818.42822265625,-936.6116,1757.2949,37.8
-1491581,-393336,818.42822265625,-943.65393,1768.4113,37.9
-1491676,-393368,820.0536499023438,-943.65393,1768.4113,38.0
-1491770,-393400,818.9313354492188,-943.65393,1768.4113,38.1
-1491865,-393432,820.5843505859375,-943.65393,1768.4113,38.2
-1491958,-393469,820.5843505859375,-943.65393,1768.4113,38.3
-1492050,-393508,822.5328369140625,-954.70685,1781.7952,38.4
-1492142,-393547,822.5328369140625,-954.70685,1781.7952,38.5
-1492235,-393584,824.3568115234375,-954.70685,1781.7952,38.6
-1492327,-393624,823.2720947265625,-954.70685,1781.7952,38.7
-1492419,-393664,825.158935546875,-954.70685,1781.7952,38.8
-1492511,-393703,825.158935546875,-962.7444,1794.3981,38.9
-1492598,-393752,825.158935546875,-962.7444,1794.3981,39.0
-1492686,-393799,826.7806396484375,-962.7444,1794.3981,39.1
-1492775,-393844,826.3364868164062,-962.7444,1794.3981,39.2
-1492863,-393893,828.379150390625,-962.7444,1794.3981,39.3
-1492950,-393941,828.379150390625,-962.7444,1794.3981,39.4
-1493043,-393979,830.2451782226562,-966.9756,1803.4916,39.5
-1493136,-394015,829.9842529296875,-971.55396,1807.5254,39.6
-1493230,-394049,831.7711181640625,-971.55396,1807.5254,39.7
-1493323,-394085,831.7711181640625,-971.55396,1807.5254,39.8
-1493416,-394123,833.8439331054688,-971.55396,1807.5254,39.9
-1493508,-394162,833.8439331054688,-974.12537,1815.233,40.0
-1493600,-394201,833.8909912109375,-974.12537,1815.233,40.1
-1493690,-394245,835.643798828125,-974.12537,1815.233,40.2
-1493782,-394283,835.643798828125,-974.12537,1815.233,40.3
-1493875,-394319,837.7784423828125,-974.12537,1815.233,40.4
-1493969,-394355,837.7784423828125,-974.12537,1815.233,40.5
-1494062,-394390,839.57958984375,-975.6342,1821.2898,40.6
-1494157,-394423,839.2589111328125,-975.6342,1821.2898,40.7
-1494251,-394457,841.8811645507812,-975.6342,1821.2898,40.8
-1494345,-394491,841.8811645507812,-975.6342,1821.2898,40.9
-1494438,-394527,843.2987670898438,-976.4098,1821.3578,41.0
-1494531,-394563,843.2987670898438,-971.09753,1820.8331,41.1
-1494624,-394600,844.8084716796875,-971.09753,1820.8331,41.2
-1494717,-394637,844.8084716796875,-971.09753,1820.8331,41.3
-1494809,-394676,845.6151733398438,-971.09753,1820.8331,41.4
-1494901,-394715,845.6151733398438,-971.09753,1820.8331,41.5
-1494993,-394754,845.6151733398438,-971.09753,1820.8331,41.6
-1495086,-394791,846.6395874023438,-957.5969,1810.309,41.7
-1495180,-394827,846.4068603515625,-957.5969,1810.309,41.8
-1495273,-394862,846.3638916015625,-957.5969,1810.309,41.9
-1495367,-394896,846.3638916015625,-957.5969,1810.309,42.0
-1495461,-394931,846.3016357421875,-957.5969,1810.309,42.1
-1495555,-394966,846.3016357421875,-932.0142,1785.3976,42.2
